SPGTable,,,,,,
NWL,Newell Brands Inc. (NASDAQGS:NWL),4:00:00 PM ET  ,Consumer Discretionary; Consumer Durables and Apparel; Household Durables; Housewares and Specialties; Kitchen Housewares; Bakeware; Cookware; Cutlery; Glass and Glassware,Consumer Discretionary,Household Durables,4066321
OC,Owens Corning (NYSE:OC),4:00:02 PM ET  ,"Industrials; Capital Goods; Building Products; Building Products; Roofing, Siding, and Insulation Materials; Asphalt Paving and Roofing Materials; Shingles and Shake Siding Materials; Windows and Doors",Industrials,Building Products,4014547
ORCL,Oracle Corporation (NYSE:ORCL),4:05:12 PM ET  ,Information Technology; Software and Services; Software; Systems Software; Development Tools; Operating System Software,Information Technology,Software,4041363
PATK,"Patrick Industries, Inc. (NASDAQGS:PATK)",4:00:00 PM ET  ,Consumer Discretionary; Automobiles and Components; Automobile Components; Automotive Parts and Equipment,Consumer Discretionary,Automobile Components,4987464
PCG,[Inactive] Pacific Gas and Electric Company,,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Generation By Fossil Fuels; Electric Power Generation By Nuclear Fuels,Utilities,Electric Utilities,4004218
PGS,"[Inactive] Public Service Company of North Carolina, Incorporated",,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution,Utilities,Gas Utilities,4057139
PII,Polaris Inc. (NYSE:PII),4:00:02 PM ET  ,Consumer Discretionary; Consumer Durables and Apparel; Leisure Products; Leisure Products,Consumer Discretionary,Leisure Products,6331267
PPW,[Inactive] PacifiCorp,,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Utilities,Electric Utilities,4001587
PSIE,"[Inactive] Duke Energy Indiana, LLC",,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Generation By Nuclear Fuels; Electric Power Transmission and Control,Utilities,Electric Utilities,4062444
RCL,Royal Caribbean Cruises Ltd. (NYSE:RCL),4:00:02 PM ET  ,"Consumer Discretionary; Consumer Services; Hotels, Restaurants and Leisure; Hotels, Resorts and Cruise Lines; Lodging; Cruise Ships",Consumer Discretionary,"Hotels, Restaurants and Leisure",4980858
RITM,Rithm Capital Corp. (NYSE:RITM),4:00:03 PM ET  ,Financials; Financial Services; Mortgage Real Estate Investment Trusts (REITs); Mortgage REITs,Financials,Mortgage Real Estate Investment Trusts (REITs),4347089
RTN,[Inactive] Raytheon Company,,"Industrials; Capital Goods; Aerospace and Defense; Aerospace and Defense; Aerospace and Defense Maintenance and Services; Aircraft Systems, Components and Equipment; Aerospace Location, Navigation, and Guidance Systems; Conventional Weapons; Defense Electronics; Command, Control and Communication Equipment; Electronic Warfare Systems; Infrared Sensors",Industrials,Aerospace and Defense,4020418
RTX,RTX Corporation (NYSE:RTX),4:00:03 PM ET  ,"Industrials; Capital Goods; Aerospace and Defense; Aerospace and Defense; Aerospace and Defense Maintenance and Services; Aerospace Transportation Support Systems; Flight Simulators; Aircraft Systems, Components and Equipment; Aircraft Engines and Engine Parts; Defense Electronics; Command, Control and Communication Equipment; Infrared Sensors",Industrials,Aerospace and Defense,4001600
SAIC,Science Applications International Corporation (NASDAQGS:SAIC),4:00:00 PM ET  ,Industrials; Commercial and Professional Services; Professional Services; Research and Consulting Services,Industrials,Professional Services,4070675
SCHW,The Charles Schwab Corporation (NYSE:SCHW),4:00:02 PM ET  ,Financials; Financial Services; Capital Markets; Investment Banking and Brokerage; Securities and Commodities Markets Services; Security Brokers and Dealers; Online Security Brokers and Dealers; Online Trading Systems,Financials,Capital Markets,102775
SWX,"Southwest Gas Holdings, Inc. (NYSE:SWX)",4:00:02 PM ET  ,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution; Natural Gas Transmission,Utilities,Gas Utilities,4884928
SYY,Sysco Corporation (NYSE:SYY),4:00:02 PM ET  ,Consumer Staples; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Food Distributors; Beverage Distribution; Food Distribution; Groceries and Related Product Distribution,Consumer Staples,Consumer Staples Distribution and Retail,4064204
TNET,"TriNet Group, Inc. (NYSE:TNET)",4:00:03 PM ET  ,Industrials; Commercial and Professional Services; Professional Services; Human Resource and Employment Services; Human Resources and Personnel Management; Payroll Services,Industrials,Professional Services,4228223
TTC,The Toro Company (NYSE:TTC),4:00:02 PM ET  ,Industrials; Capital Goods; Machinery; Agricultural and Farm Machinery; Agricultural Machinery and Equipment; Farming Machinery and Equipment,Industrials,Machinery,4107956
TWC,[Inactive] Time Warner Cable Inc.,,Media and Entertainment; Media; Cable and Satellite; Cable And Other Pay Television; Cable Broadcasting; Digital Cable Television; Communication Services,Communication Services,Media,4146010
TWX,"[Inactive] Warner Media, LLC",,Media and Entertainment; Movies and Entertainment; Entertainment Production Companies; Animation Production; Motion Picture and Video Production Companies; Television Production Companies; Entertainment Services; Motion Picture Distribution And Allied Services; Motion Picture And Video Tape Distribution; Communication Services; Entertainment,Communication Services,Entertainment,4120680
UNM,Unum Group (NYSE:UNM),4:00:02 PM ET  ,Financials; Insurance; Insurance; Life and Health Insurance; Health and Medical Insurance; Life Insurance,Financials,Insurance,103324
VSAT,"Viasat, Inc. (NASDAQGS:VSAT)",4:00:00 PM ET  ,Information Technology; Technology Hardware and Equipment; Communications Equipment; Communications Equipment; Networking Equipment; Satellite and Microwave Equipment; Telephone and Telecommunications Equipment; Telecommunications Equipment; Modems,Information Technology,Communications Equipment,4242781
VYX,NCR Voyix Corporation (NYSE:VYX),4:00:02 PM ET  ,Information Technology; Software and Services; Application Hosting Services; Application Service Providers (ASPs); Software; Application Software; Enterprise Software; Industry Specific Software; Financial Services Software; Application Software for Banking Industry; Restaurant Industry Software; Retail Industry Software; Office and Home Productivity Software,Information Technology,Software,4019364
VZ,Verizon Communications Inc. (NYSE:VZ),4:00:02 PM ET  ,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Conferencing Services; Video Conferencing,Communication Services,Diversified Telecommunication Services,4057229
WFC,Wells Fargo & Company (NYSE:WFC),4:01:12 PM ET  ,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,Financials,Banks,100382
WY,Weyerhaeuser Company (NYSE:WY),4:00:03 PM ET  ,Real Estate; Equity Real Estate Investment Trusts (REITs); Specialized REITs; Timber REITs,Real Estate,Specialized REITs,4006248
-,Federal Realty OP LP,,Real Estate; Equity Real Estate Investment Trusts (REITs); Retail REITs; Retail REITs,Real Estate,Retail REITs,101479324
-,"Constellation Energy Generation, LLC",,Utilities; Utilities; Independent Power and Renewable Electricity Producers; Renewable Electricity; Electric Power By Solar Energy; Electric Power By Wind Energy; Hydroelectric Power Generation,Utilities,Independent Power and Renewable Electricity Producers,105573768
-,Wells Fargo Finance LLC,,Financials; Financial Services; Capital Markets; Investment Banking and Brokerage,Financials,Capital Markets,10595608
-,Alcoa Nederland Holding B.V,,Financials; Financial Services; Capital Markets; Asset Management and Custody Banks,Financials,Capital Markets,20065917
-,Blue Owl Finance LLC,,Financials; Financial Services; Capital Markets; Asset Management and Custody Banks,Financials,Capital Markets,29164958
-,"Discovery Global Holdings, Inc.",,Media and Entertainment; Movies and Entertainment; Entertainment Production Companies; Motion Picture and Video Production Companies; Television Production Companies; Communication Services; Entertainment,Communication Services,Entertainment,29181597
-,Tampa Electric Company,,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Utilities,Electric Utilities,3010781
-,"BellSouth Telecommunications, LLC",,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Local Telecommunications Services; Long Distance Telecommunications Services,Communication Services,Diversified Telecommunication Services,4004438
-,Southern California Edison Company,,Utilities; Utilities; Electric Utilities; Electric Utilities,Utilities,Electric Utilities,4009083
-,The Dayton Power and Light Company,,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Transmission and Control,Utilities,Electric Utilities,4017451
-,Southwest Gas Corporation,,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution; Natural Gas Transmission,Utilities,Gas Utilities,4041957
-,Dell Inc.,,"Information Technology; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals; Computer Components",Information Technology,"Technology Hardware, Storage and Peripherals",4047867
-,First Maryland Capital II,,Financials; Banks; Banks; Regional Banks,Financials,Banks,4049746
-,"System Energy Resources, Inc.",,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Generation By Nuclear Fuels,Utilities,Electric Utilities,4056971
-,Appalachian Power Company,,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Utilities,Electric Utilities,4056972
-,"Duke Energy Florida, LLC",,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Generation By Nuclear Fuels; Electric Power Transmission and Control,Utilities,Electric Utilities,4056998
-,Jersey Central Power & Light Company,,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Transmission and Control,Utilities,Electric Utilities,4057004
-,Public Service Company of Oklahoma,,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Transmission and Control,Utilities,Electric Utilities,4057023
-,"Duke Energy Kentucky, Inc.",,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Utilities,Electric Utilities,4057103
-,Boston Gas Company,,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution; Natural Gas Transmission,Utilities,Gas Utilities,4057111
-,"Indiana Gas Company, Inc.",,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution; Natural Gas Transmission,Utilities,Gas Utilities,4057125
-,CenterPoint Energy Resources Corp.,,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution; Natural Gas Transmission,Utilities,Gas Utilities,4057141
-,"Texas Gas Transmission, LLC",,"Energy; Energy; Oil, Gas and Consumable Fuels; Oil and Gas Storage and Transportation; Natural Gas Pipelines",Energy,"Oil, Gas and Consumable Fuels",4057167
-,"Indiana Bell Telephone Company, Incorporated",,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Conferencing Services; Video Conferencing; Facsimile Transmission Services; Local Telecommunications Services; Long Distance Telecommunications Services,Communication Services,Diversified Telecommunication Services,4057194
-,Pacific Bell Telephone Company,,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services,Communication Services,Diversified Telecommunication Services,4057208
-,Qwest Corporation,,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Alternative Carriers; Broadband Telecommunications Services; Digital Telecommunications Services; Integrated Services Digital Network Services (ISDN); Point to Point Digital Telecommunications Services,Communication Services,Diversified Telecommunication Services,4057217
-,Verizon Maryland Inc.,,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Local Telecommunications Services; Telephone Answering Services,Communication Services,Diversified Telecommunication Services,4057233
-,[Inactive] Verizon New England Inc.,,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services,Communication Services,Diversified Telecommunication Services,4057234
-,Verizon New Jersey Inc.,,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Local Telecommunications Services; Long Distance Telecommunications Services,Communication Services,Diversified Telecommunication Services,4057235
-,Verizon New York Inc.,,Internet Service Providers (ISP); Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Local Telecommunications Services; Long Distance Telecommunications Services,Communication Services,Diversified Telecommunication Services,4057236
-,Verizon Virginia LLC,,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Local Telecommunications Services,Communication Services,Diversified Telecommunication Services,4057242
-,"Wisconsin Bell, Inc.",,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Local Telecommunications Services,Communication Services,Diversified Telecommunication Services,4057247
-,Connecticut Natural Gas Corporation,,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution,Utilities,Gas Utilities,4059402
-,"NextEra Energy Capital Holdings, Inc.",,Utilities; Utilities; Independent Power and Renewable Electricity Producers; Renewable Electricity; Electric Power By Solar Energy; Electric Power By Wind Energy,Utilities,Independent Power and Renewable Electricity Producers,4065678
-,"Time Warner Cable Enterprises, LLC",,Media and Entertainment; Media; Cable and Satellite; Communication Services,Communication Services,Media,4071273
-,"Talen Energy Supply, LLC",,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Generation By Fossil Fuels,Utilities,Electric Utilities,4073447
-,"MidAmerican Funding, LLC",,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Generation By Nuclear Fuels; Electric Power Transmission and Control,Utilities,Electric Utilities,4081927
-,"iHeartCommunications, Inc.",,Media and Entertainment; Media; Broadcasting; Radio; Radio Broadcasting Stations; Radio Content and Programming; Radio Networks; Communication Services,Communication Services,Media,4095086
-,"Qwest Capital Funding, Inc.",,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services,Communication Services,Diversified Telecommunication Services,4136576
-,"Charter Communications Operating, LLC",,Media and Entertainment; Media; Cable and Satellite; Cable And Other Pay Television; Cable and Other Pay Television Content and Programming; Digital Cable Television; Communication Services,Communication Services,Media,4137131
-,Ameritech Capital Funding Corporation,,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services,Communication Services,Diversified Telecommunication Services,4150236
-,Ford Holdings LLC,,Financials; Financial Services; Consumer Finance; Consumer Finance,Financials,Consumer Finance,4171731
-,"Discovery Communications, LLC",,Media and Entertainment; Media; Broadcasting; Television; Television Broadcasting Stations; Communication Services,Communication Services,Media,4200085
-,Ladder Capital Finance Holdings LLLP,,Financials; Commercial and Residential Mortgage Finance; Mortgage Bankers and Loan Correspondents; Financial Services; Financial Services,Financials,Financial Services,4237798
-,"Pipeline Funding Company, LLC",,Financials; Financial Services; Financial Services; Specialized Finance,Financials,Financial Services,4243759
-,Yorkshire Power Finance Limited,,Financials; Financial Services; Financial Services; Specialized Finance,Financials,Financial Services,4279540
-,Northrop Grumman Systems Corporation,,Industrials; Capital Goods; Aerospace and Defense; Aerospace and Defense; Aerospace and Defense Maintenance and Services,Industrials,Aerospace and Defense,4312710
-,"AEP Transmission Company, LLC",,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Transmission and Control,Utilities,Electric Utilities,4341449
-,"Healthcare Realty Holdings, L.P.",,Real Estate; Equity Real Estate Investment Trusts (REITs); Health Care REITs; Health Care REITs,Real Estate,Health Care REITs,4345132
-,Verizon Pennsylvania LLC,,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Local Telecommunications Services,Communication Services,Diversified Telecommunication Services,4381427
-,"American Homes 4 Rent, L.P.",,Real Estate; Equity Real Estate Investment Trusts (REITs); Residential REITs; Single-Family Residential REITs,Real Estate,Residential REITs,4413987
-,"Global Medical Response, Inc.",,Ambulance Services; Health Care; Health Care Equipment and Services; Health Care Providers and Services; Health Care Services,Health Care,Health Care Providers and Services,4581397
-,"Care Capital Properties, LP",,Health Care; Health Care Equipment and Services; Health Care Providers and Services; Health Care Facilities,Health Care,Health Care Providers and Services,4587510
-,MGM Growth Properties Operating Partnership LP,,Real Estate; Equity Real Estate Investment Trusts (REITs); Hotel and Resort REITs; Hotel and Resort REITs,Real Estate,Hotel and Resort REITs,4674780
-,Invitation Homes Operating Partnership LP,,Real Estate; Equity Real Estate Investment Trusts (REITs); Residential REITs; Single-Family Residential REITs,Real Estate,Residential REITs,4887375
-,Dell International L.L.C.,,"Information Technology; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals; Data Storage; Personal Computers And Accessories; Desktop Computers; Laptop Computers; Monitors; Multimedia Devices; Servers",Information Technology,"Technology Hardware, Storage and Peripherals",5067632
-,"Brighthouse Holdings, LLC",,Financials; Insurance; Insurance; Life and Health Insurance; Life Insurance,Financials,Insurance,6592953
-,USF&G Capital III,,Financials; Insurance; Insurance; Property and Casualty Insurance,Financials,Insurance,7381986
