SPGTable,,,,,,,,,,,
El Paso LLC,SPS28969935,4010586,28336LBH1,KINDERM 7.42 02/15/2037 FIX USD Corporate,No,,,Senior Unsecured,Bond,"50,086.00000",Fixed Maturity
El Paso LLC,SPS64358763,4010586,U53248AL1,KINDERM 02/15/2027 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,2/15/2027,Fixed Maturity
"El Paso Natural Gas Company, L.L.C.",SPS14037911,4057159,283695BE3,ELPASBB 7.5 11/15/2026 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,341.00000",Fixed Maturity
EPR Properties,SPS410248966,113645,26884UA@8,EPRPRO 4.56 08/22/2026 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,8/22/2026,Fixed Maturity
EQT Corporation,SPS14035183,4004341,294549AE0,ETABL 7.75 07/15/2026 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,218.00000",Fixed Maturity
Equifax Inc.,SPS14057890,4040823,294429AC9,EFX 6.9 07/01/2028 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,935.00000",Fixed Maturity
Exelon Corporation,SPS1972368330,4057056,30161NBU4,EXC 3.25 03/15/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
Expand Energy Corporation,SPS1675972149,4010492,845467AR0,EXPENE 5.375 02/01/2029 FIX USD Corporate,Yes,"46,204.00000","45,323.00000",Senior Unsecured,Bond,"47,150.00000",Fixed Maturity
Extra Space Storage LP,SPS1681216404,4383065,30225VAG2,EXTRSPA 2.35 03/15/2032 FIX USD Corporate,Yes,"48,197.00000","48,197.00000",Senior Unsecured,Bond,"48,288.00000",Fixed Maturity
Extra Space Storage LP,SPS633114752,4383065,30225VA#4,EXTRSPA 10/09/2029 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,10/9/2029,Fixed Maturity
Federal Realty OP LP,SPS14035725,101479324,313747AF4,FEDEREA 7.48 08/15/2026 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,249.00000",Fixed Maturity
"First Industrial, L.P.",SPS419359504,4064354,32055RA@6,FR-1stIndLP 04/20/2027 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,4/20/2027,Fixed Maturity
First Maryland Capital II,SPS31507976,4049746,U32109AA5,AIB-FstMlndCap2 2.999 02/01/2027 FLT USD Corporate RegS,Yes,7/16/2026,2/1/2007,Senior Unsecured,Bond,2/1/2027,Fixed Maturity
Ford Holdings LLC,SPS14168084,4171731,345277AE7,FORDHOL 9.3 03/01/2030 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,543.00000",Fixed Maturity
Ford Motor Company,SPS14009291,113873,345370BH2,F 9.95 02/15/2032 FIX USD Corporate,No,,,Senior Unsecured,Bond,"48,259.00000",Fixed Maturity
Ford Motor Company,SPS14009295,113873,345370BM1,F 7.75 06/15/2043 FIX USD Corporate,No,,,Senior Unsecured,Bond,"52,397.00000",Fixed Maturity
Ford Motor Company,SPS14035502,113873,345370BP4,F 7.5 08/01/2026 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,235.00000",Fixed Maturity
Ford Motor Company,SPS14037654,113873,345370BR0,F 7.4 11/01/2046 FIX USD Corporate,No,,,Senior Unsecured,Bond,"53,632.00000",Fixed Maturity
Ford Motor Company,SPS14043002,113873,345370BS8,F 7.7 05/15/2097 FIX USD Corporate,No,,,Senior Unsecured,Bond,"72,090.00000",Fixed Maturity
Ford Motor Company,SPS14052708,113873,345370BT6,F 6.625 02/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,798.00000",Fixed Maturity
Ford Motor Company,SPS14086369,113873,345370BV1,F 8.9 01/15/2032 FIX USD Corporate,No,,,Senior Unsecured,Bond,"48,228.00000",Fixed Maturity
Ford Motor Company,SPS14087329,113873,345370BW9,F 9.98 02/15/2047 FIX USD Corporate,No,,,Senior Unsecured,Bond,"53,738.00000",Fixed Maturity
Freedom Mortgage Corporation,SPS1848270539,4105802,U31333AG9,FREEMOR 6.625 01/15/2027 FIX USD Corporate RegS,Yes,"46,204.00000","45,306.00000",Senior Unsecured,Bond,"46,402.00000",Fixed Maturity
GE HealthCare Technologies Inc.,SPS1814830566,108009705,36267VAL7,GEHEAL 6.377 11/22/2052 FIX USD Corporate 144A,Yes,"55,661.00000","55,661.00000",Senior Unsecured,Bond,"55,845.00000",Fixed Maturity
"Global Medical Response, Inc.",SPS1878968083,4581397,U3163BAB5,GMEDIC 10/31/2028 FIX USD Corporate RegS,Yes,,5/20/2024,Senior Secured,Bond,"47,057.00000",Fixed Maturity
Global Payments Inc.,SPS1758571575,4090258,37940XAH5,GLP 2.9 11/15/2031 FIX USD Corporate,Yes,"48,075.00000","48,075.00000",Senior Unsecured,Bond,"48,167.00000",Fixed Maturity
Goldman Sachs Private Credit Corp.,SPS1983634252,107538728,U3826RAH6,GOLDSAHG 02/23/2028 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,2/23/2028,Fixed Maturity
Goldman Sachs Private Credit Corp.,SPS1994091751,107538728,38152BAR2,GOLDSAHG 06/16/2031 FIX USD Corporate,No,,,Senior Unsecured,Bond,6/16/2031,Fixed Maturity
Golub Capital Private Credit Fund,SPS1953804350,110706143,38179RAF2,GOLUCAHC 5.45 08/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,8/15/2028,Fixed Maturity
GS Finance Corp.,SPS1885561763,4207623,40058FDE0,GSFI 09/30/2064 FLT USD Corporate,No,,,Senior Unsecured,Bond,"60,175.00000",Fixed Maturity
GS Finance Corp.,SPS1885563461,4207623,40058FUG6,GSFI 11/29/2039 FLT USD Corporate,Yes,7/1/2026,12/1/2025,Senior Unsecured,Bond,11/29/2039,Fixed Maturity
Halliburton Company,SPS14176439,4010641,406216AS0,HAL 7.6 08/15/2096 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,"71,817.00000",Fixed Maturity
"Hasbro, Inc.",SPS14058449,4095387,418056AH0,HAS 6.6 07/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,949.00000",Fixed Maturity
"Healthcare Realty Holdings, L.P.",SPS1792655508,4345132,42225UAQ7,HEALREA 3.625 01/15/2028 FIX USD Corporate,Yes,"46,675.00000","46,675.00000",Senior Unsecured,Bond,"46,767.00000",Fixed Maturity
"Healthcare Realty Holdings, L.P.",SPS635849717,4345132,42225UAG9,HEALREA 3.1 02/15/2030 FIX USD Corporate,Yes,"47,437.00000","47,437.00000",Senior Unsecured,Bond,"47,529.00000",Fixed Maturity
Historic TW Inc.,SPS14028273,4004176,887315AZ2,TW-HistTWInc 8.3 01/15/2036 VAR USD Corporate,No,,,Senior Unsecured,Bond,"49,689.00000",Fixed Maturity
Historic TW Inc.,SPS14056627,4004176,887315BM0,TW-HistTWInc 6.95 01/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,767.00000",Fixed Maturity
Historic TW Inc.,SPS14063043,4004176,887315BN8,TW-HistTWInc 6.625 05/15/2029 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"47,253.00000",Fixed Maturity
Howard Hughes Holdings Inc.,SPS701331969,4265772,U44255AF1,THEHOW 4.375 02/01/2031 FIX USD Corporate RegS,Yes,"46,188.00000","46,054.00000",Senior Unsecured,Bond,"47,880.00000",Fixed Maturity
HP Inc.,SPS1785965139,105223,40434LAN5,HPINCAA 5.5 01/15/2033 FIX USD Corporate,Yes,"48,502.00000","48,502.00000",Senior Unsecured,Bond,"48,594.00000",Fixed Maturity
HPS Corporate Lending Fund,SPS1959590668,29558536,40440VAR6,HPSCOR FIX USD Corporate,No,,,Senior Unsecured,Bond,,Fixed Maturity
HPS Corporate Lending Fund,SPS1999752877,29558536,40440VBF1,HPSCOR FIX USD Corporate,No,,,Senior Unsecured,Bond,,Fixed Maturity
"iHeartCommunications, Inc.",SPS1912350935,4095086,U45057AP8,IHEAINC 7.0 01/15/2031 FIX USD Corporate RegS,Yes,"46,376.00000","46,376.00000",Senior Secured,Bond,"47,863.00000",Fixed Maturity
"Indiana Bell Telephone Company, Incorporated",SPS32213435,4057194,454614AL2,INDIBEL 7.3 08/15/2026 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,249.00000",Fixed Maturity
"Indiana Gas Company, Inc.",SPS14044868,4057125,45475QAH6,VVC-InGaCo 6.68 07/07/2027 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,575.00000",Fixed Maturity
"Indiana Gas Company, Inc.",SPS14077444,4057125,45475QAR4,VVC-InGaCo 7.08 10/05/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,396.00000",Fixed Maturity
Invitation Homes Operating Partnership LP,SPS1686799318,4887375,46188BAC6,INVIHOAC 2.7 01/15/2034 FIX USD Corporate,Yes,"48,867.00000","48,867.00000",Senior Unsecured,Bond,"48,959.00000",Fixed Maturity
ITC Holdings Corp.,SPS1838044034,4099990,U4501WAL6,ITCHC 09/22/2027 FIX USD Corporate RegS,Yes,,8/22/2027,Senior Unsecured,Bond,9/22/2027,Fixed Maturity
Jefferies Financial Group Inc.,SPS14559250,103464,472319AC6,JEFFIN 6.25 01/15/2036 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"49,689.00000",Fixed Maturity
Jefferies Financial Group Inc.,SPS1891126746,103464,47233WGV5,JEFFIN 08/31/2036 FLT USD Corporate,No,,,Senior Unsecured,Bond,8/31/2036,Fixed Maturity
Jefferies Financial Group Inc.,SPS1893490168,103464,47233WHA0,JEFFIN 6.0 09/16/2036 FIX USD Corporate,Yes,,"45,916.00000",Senior Unsecured,Bond,"49,934.00000",Fixed Maturity
Jefferies Financial Group Inc.,SPS1903319909,103464,47233WHJ1,JEFFIN 6.0 11/22/2039 FIX USD Corporate,Yes,"46,713.00000","46,713.00000",Senior Unsecured,Bond,"51,096.00000",Fixed Maturity
Jefferies Financial Group Inc.,SPS1935137954,103464,47233WJK6,JEFFIN 6.5 03/31/2045 FIX USD Corporate,Yes,"46,295.00000","46,112.00000",Senior Unsecured,Bond,"53,052.00000",Fixed Maturity
Jefferies Financial Group Inc.,SPS1948280473,103464,47233WKB4,JEFFIN 6.05 06/30/2035 FIX USD Corporate,No,,,Senior Unsecured,Bond,6/30/2035,Fixed Maturity
Jefferies Financial Group Inc.,SPS1955668501,103464,47233WKK4,JEFFIN 5.85 08/08/2035 FIX USD Corporate,Yes,8/8/2027,8/8/2027,Senior Unsecured,Bond,8/8/2035,Fixed Maturity
Jefferies Financial Group Inc.,SPS1962725703,103464,47233WKT5,JEFFIN 10/20/2045 FIX USD Corporate,No,,,Senior Unsecured,Bond,10/20/2045,Fixed Maturity
Jefferies Financial Group Inc.,SPS1968256411,103464,47233WKZ1,JEFFIN 5.5 11/25/2035 FIX USD Corporate,Yes,11/25/2027,11/25/2027,Senior Unsecured,Bond,11/25/2035,Fixed Maturity
Jefferies Financial Group Inc.,SPS1978548739,103464,47233WLP2,JEFFIN 5.0 01/31/2032 FIX USD Corporate,No,,,Senior Unsecured,Bond,1/31/2032,Fixed Maturity
Jefferies Financial Group Inc.,SPS1981558671,103464,47233WLQ0,JEFFIN 6.0 02/17/2041 FIX USD Corporate,No,,,Senior Unsecured,Bond,2/17/2041,Fixed Maturity
Jefferies Financial Group Inc.,SPS1981558673,103464,47233WLS6,JEFFIN 5.0 02/17/2032 FIX USD Corporate,Yes,2/17/2027,2/17/2027,Senior Unsecured,Bond,2/17/2032,Fixed Maturity
Jefferies Financial Group Inc.,SPS1984711343,103464,47233WLU1,JEFFIN 5.0 02/28/2033 FIX USD Corporate,Yes,2/28/2027,2/28/2027,Senior Unsecured,Bond,2/28/2033,Fixed Maturity
Jefferies Financial Group Inc.,SPS1986625840,103464,47233WLZ0,JEFFIN 7.0 03/17/2056 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/17/2056,Fixed Maturity
Jefferies Financial Group Inc.,SPS2001003224,103464,47233WMQ9,JEFFIN 05/31/2031 FIX USD Corporate,No,5/29/2027,5/29/2027,Senior Unsecured,Note,5/31/2031,Fixed Maturity
Jefferies Financial Group Inc.,SPS2001003225,103464,47233WMR7,JEFFIN 05/29/2051 FIX USD Corporate,No,5/29/2027,5/29/2027,Senior Unsecured,Note,5/29/2051,Fixed Maturity
Jefferies Financial Group Inc.,SPS643085688,103464,47233JCR7,JEFFIN 4.46086 11/29/2034 FLT USD Corporate,No,,,Senior Unsecured,Bond,"49,277.00000",Fixed Maturity
Jefferies Financial Group Inc.,SPS690751551,103464,47233JDZ8,JEFFIN 4.0 10/19/2040 FIX USD Corporate,No,,,Senior Unsecured,Bond,"51,428.00000",Fixed Maturity
Jersey Central Power & Light Company,SPS1997341634,4057004,476556DP7,FE-JerCenP+L 01/15/2030 FIX USD Corporate,No,,,Senior Unsecured,Bond,1/15/2030,Fixed Maturity
Jersey Central Power & Light Company,SPS64629873,4057004,476556CV5,FE-JerCenP+L 6.15 06/01/2037 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"50,192.00000",Fixed Maturity
"Kinder Morgan Finance Company, LLC",SPS14556964,4111520,49455WAE6,KMI-finco 01/05/2036 FIX USD Corporate 144A,Yes,,,Senior Unsecured,Bond,1/5/2036,Fixed Maturity
"Kinder Morgan Finance Company, LLC",SPS64562590,4111520,C49355AC1,KMI-finco 01/05/2036 FIX USD Corporate RegS,Yes,,,Senior Unsecured,Bond,1/5/2036,Fixed Maturity
"Kinder Morgan, Inc.",SPS14048016,4275772,482620AS0,KINDERM 6.67 11/01/2027 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,692.00000",Fixed Maturity
"Kinder Morgan, Inc.",SPS14053446,4275772,482620AW1,KINDERM 7.25 03/01/2028 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,813.00000",Fixed Maturity
"Kinder Morgan, Inc.",SPS14053447,4275772,482620AX9,KINDERM 7.45 03/01/2098 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"72,380.00000",Fixed Maturity
Ladder Capital Finance Holdings LLLP,SPS717945595,4237798,505742AQ9,LADDERC 4.75 06/15/2029 FIX USD Corporate,Yes,"46,184.00000","45,458.00000",Senior Unsecured,Bond,"47,284.00000",Fixed Maturity
"LGI Homes, Inc.",SPS1862056393,4398514,50187TAJ5,LGIHOM 8.75 12/15/2028 FIX USD Corporate,Yes,"46,204.00000","46,006.00000",Senior Unsecured,Bond,"47,102.00000",Fixed Maturity
"Lowe's Companies, Inc.",SPS14052137,4004318,548661AH0,LOW 6.875 02/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,798.00000",Fixed Maturity
"Lowe's Companies, Inc.",SPS14066335,4004318,548661AJ6,LOW 03/15/2029 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
"Lowe's Companies, Inc.",SPS14077635,4004318,548661AK3,LOW 6.5 03/15/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,192.00000",Fixed Maturity
"Lowe's Companies, Inc.",SPS1681217101,4004318,548661EE3,LOW 2.8 09/15/2041 FIX USD Corporate,Yes,"51,575.00000","51,575.00000",Senior Unsecured,Bond,"51,759.00000",Fixed Maturity
"Macy's, Inc.",SPS14081521,4004104,577778BK8,M 7.875 03/01/2030 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"47,543.00000",Fixed Maturity
"Macy's, Inc.",SPS34691053,4004104,31410HAJ0,M 6.79 07/15/2027 FIX USD Corporate,Yes,6/30/2026,7/15/2004,Senior Unsecured,Bond,7/15/2027,Fixed Maturity
Main Street Capital Corporation,SPS1993554863,4160255,56035LA#1,MAISTR 6.93 04/15/2031 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,4/15/2031,Fixed Maturity
"Mandalay Resort Group, LLC",SPS14038421,4107947,172909AJ2,MBG 6.7 11/15/2096 FIX USD Corporate,No,,,Senior Unsecured,Bond,11/15/2096,Fixed Maturity
"Mandalay Resort Group, LLC",SPS14038423,4107947,172909AH6,MBG 7.0 11/15/2036 FIX USD Corporate,No,,,Senior Unsecured,Bond,11/15/2036,Fixed Maturity
"MasTec, Inc.",SPS1803817670,4385530,576323AR0,MTZ 6.625 08/15/2029 FIX USD Corporate,Yes,6/11/2026,8/15/2024,Senior Unsecured,Bond,8/15/2029,Fixed Maturity
May Department Stores Co.,SPS32218277,4001582,577778CD3,FD-MAY 07/15/2034 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,7/15/2034,Fixed Maturity
MGM Growth Properties Operating Partnership LP,SPS536908645,4674780,55303XAE5,VPROPE 4.5 01/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,1/15/2028,Fixed Maturity
"MidAmerican Funding, LLC",SPS14067416,4081927,59562HAC2,BRK-MidamFund 03/01/2029 FIX USD Corporate 144A,Yes,,,Senior Unsecured,Bond,3/1/2029,Fixed Maturity
"MidAmerican Funding, LLC",SPS14082915,4081927,59562HAJ7,BRK-MidamFund 6.927 03/01/2029 FIX USD Corporate,Yes,,,Senior Secured,Bond,"47,178.00000",Fixed Maturity
"MidAmerican Funding, LLC",SPS32218592,4081927,59562HAF5,BRK-MidamFund 03/01/2029 FIX USD Corporate,No,,,Senior Secured,Bond,"47,178.00000",Fixed Maturity
Motiva Enterprises LLC,SPS106419376,4061620,61980AAF0,MOTE 6.85 01/15/2040 FIX USD Corporate,No,,,Senior Unsecured,Bond,1/15/2040,Fixed Maturity
MSCI Inc.,SPS642898600,4167462,55354GAJ9,MSCINC FIX USD Corporate,No,,,Senior Unsecured,Bond,,Fixed Maturity
"National Health Investors, Inc.",SPS309336287,102983,63633DA@3,NHI 01/13/2027 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,1/13/2027,Fixed Maturity
"Nationwide Financial Services, Inc.",SPS277592989,108270,638612AL5,NFS 5.3 11/18/2044 FIX USD Corporate 144A,Yes,,,Senior Unsecured,Bond,"52,919.00000",Fixed Maturity
"Nationwide Financial Services, Inc.",SPS277593059,108270,U63752AB2,NFS 5.3 11/18/2044 FIX USD Corporate RegS,Yes,,,Senior Unsecured,Bond,"52,919.00000",Fixed Maturity
Navient Corporation,SPS14132592,102896,78490FAT6,NAVIECO 03/15/2028 FIX USD Corporate,Yes,,3/15/2008,Senior Unsecured,Bond,3/15/2028,Fixed Maturity
Navient Corporation,SPS14132992,102896,78490FAY5,NAVIECO 03/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/15/2028,Fixed Maturity
Navient Corporation,SPS14133537,102896,78490FBD0,NAVIECO 03/15/2028 FIX USD Corporate,Yes,,3/15/2008,Senior Unsecured,Bond,3/15/2028,Fixed Maturity
Navient Corporation,SPS14134031,102896,78490FBJ7,NAVIECO 03/15/2028 FIX USD Corporate,Yes,,3/15/2008,Senior Unsecured,Bond,3/15/2028,Fixed Maturity
Navient Corporation,SPS14145003,102896,78490FGC7,NAVIECO 03/15/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
Navient Corporation,SPS14145370,102896,78490FGG8,NAVIECO 03/15/2029 FIX USD Corporate,Yes,,9/15/2008,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
Navient Corporation,SPS14145739,102896,78490FGL7,NAVIECO 03/15/2029 FIX USD Corporate,Yes,,9/15/2008,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
Navient Corporation,SPS14146123,102896,78490FGQ6,NAVIECO 03/15/2029 FIX USD Corporate,Yes,,9/15/2008,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
Navient Corporation,SPS14146477,102896,78490FGU7,NAVIECO 03/15/2029 FIX USD Corporate,Yes,,9/15/2008,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
Navient Corporation,SPS14147205,102896,78490FHC6,NAVIECO 03/15/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
Navient Corporation,SPS14148312,102896,78490FHQ5,NAVIECO 03/15/2029 FIX USD Corporate,Yes,,3/15/2009,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
Navient Corporation,SPS14148568,102896,78490FHU6,NAVIECO 03/15/2029 FIX USD Corporate,Yes,,3/15/2009,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
Navient Corporation,SPS14149707,102896,78490FJE0,NAVIECO 03/15/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/15/2029,Fixed Maturity
NCR Voyix Corporation,SPS708503640,4019364,62886EBB3,NCRVOY FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,,Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS1760991694,4065678,65339KBZ2,NXTENG 2.44 01/15/2032 FIX USD Corporate,Yes,"48,136.00000","48,136.00000",Senior Unsecured,Bond,"48,228.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS1760991695,4065678,65339KCA6,NXTENG 3.0 01/15/2052 FIX USD Corporate,Yes,"55,349.00000","55,349.00000",Senior Unsecured,Bond,"55,533.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS1800633131,4065678,65339KCL2,NXTENG 4.685 09/01/2027 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,631.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS1824929509,4065678,65339KCM0,NXTENG 4.9 02/28/2028 FIX USD Corporate,Yes,"46,780.00000","46,780.00000",Senior Unsecured,Bond,"46,811.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS1824929510,4065678,65339KCQ1,NXTENG 5.25 02/28/2053 FIX USD Corporate,Yes,"55,759.00000","55,759.00000",Senior Unsecured,Bond,"55,943.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS1824929511,4065678,65339KCN8,NXTENG 5.0 02/28/2030 FIX USD Corporate,Yes,"47,480.00000","47,480.00000",Senior Unsecured,Bond,"47,542.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS1824929512,4065678,65339KCP3,NXTENG 5.05 02/28/2033 FIX USD Corporate,Yes,"48,546.00000","48,546.00000",Senior Unsecured,Bond,"48,638.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS1885042845,4065678,65339KDC1,NEXTEI 5.15 06/01/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,270.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS1902103546,4065678,65339KDD9,NEXTEI 4.635 11/01/2029 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"47,423.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS29069261,4065678,302570403,NXTENG 10/01/2066 FIX USD Corporate,No,,,Senior Unsecured,Bond,10/1/2066,Fixed Maturity
