SPGTable,,,,,,,,,,,
"NextEra Energy Capital Holdings, Inc.",SPS428742841,4065678,65339KAT7,NXTENG 3.55 05/01/2027 FIX USD Corporate,Yes,"46,419.00000","46,419.00000",Senior Unsecured,Bond,"46,508.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS607925173,4065678,65339KBJ8,NXTENG 3.5 04/01/2029 FIX USD Corporate,Yes,"47,119.00000","47,119.00000",Senior Unsecured,Bond,"47,209.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS666803624,4065678,65339KBR0,NXTENG 2.25 06/01/2030 FIX USD Corporate,Yes,"47,543.00000","47,543.00000",Senior Unsecured,Bond,"47,635.00000",Fixed Maturity
"NextEra Energy Capital Holdings, Inc.",SPS717055991,4065678,65339KBW9,NXTENG 1.9 06/15/2028 FIX USD Corporate,Yes,"46,858.00000","46,858.00000",Senior Unsecured,Bond,"46,919.00000",Fixed Maturity
"Nordstrom, Inc.",SPS14053808,4053619,655664AH3,JWN 6.95 03/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,827.00000",Fixed Maturity
Norfolk Southern Corporation,SPS139961530,4021829,655844BE7,NSC 10/01/2041 FIX USD Corporate 144A,Yes,,,Senior Unsecured,Bond,10/1/2041,Fixed Maturity
Norfolk Southern Corporation,SPS142250094,4021829,U65584AB7,NSC 10/01/2041 FIX USD Corporate RegS,Yes,,,Senior Unsecured,Bond,10/1/2041,Fixed Maturity
Norfolk Southern Corporation,SPS1677747918,4021829,655844CL0,NSC 2.9 08/25/2051 FIX USD Corporate,Yes,"55,209.00000","55,209.00000",Senior Unsecured,Bond,"55,390.00000",Fixed Maturity
Norfolk Southern Corporation,SPS542231141,4021829,655844BW7,NSC 3.942 11/01/2047 FIX USD Corporate 144A,Yes,"53,813.00000","53,813.00000",Senior Unsecured,Bond,"53,997.00000",Fixed Maturity
Norfolk Southern Corporation,SPS542273153,4021829,U65584AF8,NSC 3.942 11/01/2047 FIX USD Corporate RegS,Yes,"53,813.00000","53,813.00000",Senior Unsecured,Bond,"53,997.00000",Fixed Maturity
Norfolk Southern Railway Company,SPS14165866,4073968,655855FB5,NSC-Railway 7.875 05/15/2043 FIX USD Corporate,No,,,Senior Unsecured,Bond,"52,366.00000",Fixed Maturity
Northrop Grumman Corporation,SPS14093116,4069910,666807AU6,NORGRM 02/15/2031 FIX USD Corporate 144A,Yes,,,Senior Unsecured,Bond,2/15/2031,Fixed Maturity
Northrop Grumman Corporation,SPS32220206,4069910,666807AV4,NORGRM 02/15/2031 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,2/15/2031,Fixed Maturity
Northrop Grumman Systems Corporation,SPS14078224,4312710,872649BH0,NOC-SysCorp 7.75 06/01/2029 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"47,270.00000",Fixed Maturity
Occidental Petroleum Corporation,SPS1684713514,4010841,674599EG6,OXY 6.6 03/15/2046 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,3/15/2046,Fixed Maturity
Occidental Petroleum Corporation,SPS634205757,4010841,674599DP7,OXY 7.0 11/15/2027 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,706.00000",Fixed Maturity
Occidental Petroleum Corporation,SPS634205761,4010841,674599DT9,OXY 7.2 03/15/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,192.00000",Fixed Maturity
"ONEOK, Inc.",SPS14060951,4010846,682680AB9,OKE 6.875 09/30/2028 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"47,026.00000",Fixed Maturity
"ONEOK, Inc.",SPS666570504,4010846,682680BF9,OKE 7.15 01/15/2051 FIX USD Corporate,Yes,"54,984.00000","54,984.00000",Senior Unsecured,Bond,"55,168.00000",Fixed Maturity
"ONEOK, Inc.",SPS666570566,4010846,682680BE2,OKE 6.35 01/15/2031 FIX USD Corporate,Yes,"47,771.00000","47,771.00000",Senior Unsecured,Bond,"47,863.00000",Fixed Maturity
Oracle Corporation,SPS661501797,4041363,68389XBW4,ORCLE 3.6 04/01/2040 FIX USD Corporate,Yes,"51,044.00000","51,044.00000",Senior Unsecured,Bond,"51,227.00000",Fixed Maturity
Oracle Corporation,SPS661501798,4041363,68389XBY0,ORCLE 3.85 04/01/2060 FIX USD Corporate,Yes,"58,349.00000","58,349.00000",Senior Unsecured,Bond,"58,532.00000",Fixed Maturity
Oracle Corporation,SPS661501800,4041363,68389XBX2,ORCLE 3.6 04/01/2050 FIX USD Corporate,Yes,"54,697.00000","54,697.00000",Senior Unsecured,Bond,"54,879.00000",Fixed Maturity
Pacific Bell Telephone Company,SPS14015702,4057208,694032AV5,PACIFIB 07/15/2043 FIX USD Corporate,Yes,,7/15/2013,Senior Unsecured,Bond,7/15/2043,Fixed Maturity
Pacific Bell Telephone Company,SPS32220862,4057208,694032BH5,PACIFIB 07/15/2043 FIX USD Corporate,Yes,,7/15/2013,Senior Unsecured,Bond,7/15/2043,Fixed Maturity
Pacific Gas and Electric Company,SPS1771741932,4004218,694308KB2,PCG-PacGas+Elec 4.2 03/01/2029 FIX USD Corporate,Yes,"47,119.00000","47,119.00000",Senior Secured,Bond,"47,178.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1771741934,4004218,694308KD8,PCG-PacGas+Elec 5.25 03/01/2052 FIX USD Corporate,Yes,"55,397.00000","55,397.00000",Senior Secured,Bond,"55,579.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1786038271,4004218,694308KF3,PCG-PacGas+Elec 5.45 06/15/2027 FIX USD Corporate,Yes,"46,522.00000","46,522.00000",Senior Secured,Bond,"46,553.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1786038272,4004218,694308KG1,PCG-PacGas+Elec 5.9 06/15/2032 FIX USD Corporate,Yes,"48,288.00000","48,288.00000",Senior Secured,Bond,"48,380.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1820704226,4004218,694308KH9,PCG-PacGas+Elec 6.75 01/15/2053 FIX USD Corporate,Yes,"55,715.00000","55,715.00000",Senior Secured,Bond,"55,899.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1831053386,4004218,694308KK2,PCG-PacGas+Elec 6.7 04/01/2053 FIX USD Corporate,Yes,"55,793.00000","55,793.00000",Senior Secured,Bond,"55,975.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1840069904,4004218,694308KL0,PCG-PacGas+Elec 6.1 01/15/2029 FIX USD Corporate,Yes,"47,102.00000","47,102.00000",Senior Secured,Bond,"47,133.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1872777034,4004218,694308KQ9,PCG-PacGas+Elec 5.55 05/15/2029 FIX USD Corporate,Yes,"47,223.00000","47,223.00000",Senior Secured,Bond,"47,253.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1872777035,4004218,694308KR7,PCG-PacGas+Elec 5.8 05/15/2034 FIX USD Corporate,Yes,"48,990.00000","48,990.00000",Senior Secured,Bond,"49,079.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1932376728,4004218,694308KU0,PCG-PacGas+Elec 5.7 03/01/2035 FIX USD Corporate,Yes,"49,279.00000","49,279.00000",Senior Secured,Bond,"49,369.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1932376729,4004218,694308KV8,PCG-PacGas+Elec 6.15 03/01/2055 FIX USD Corporate,Yes,"56,493.00000","56,493.00000",Senior Secured,Bond,"56,674.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS1945918942,4004218,694308KW6,PCG-PacGas+Elec 5.0 06/04/2028 FIX USD Corporate,Yes,"46,877.00000","46,877.00000",Senior Secured,Bond,6/4/2028,Fixed Maturity
Pacific Gas and Electric Company,SPS1945918943,4004218,694308KX4,PCG-PacGas+Elec 6.0 08/15/2035 FIX USD Corporate,Yes,"49,444.00000","49,444.00000",Senior Secured,Bond,8/15/2035,Fixed Maturity
Pacific Gas and Electric Company,SPS1961942870,4004218,694308KY2,PCG-PacGas+Elec 5.05 10/15/2032 FIX USD Corporate,Yes,"48,441.00000",8/15/2032,Senior Secured,Bond,10/15/2032,Fixed Maturity
Pacific Gas and Electric Company,SPS1961942871,4004218,694308KZ9,PCG-PacGas+Elec 6.1 10/15/2055 FIX USD Corporate,Yes,"56,719.00000",4/15/2055,Senior Secured,Bond,10/15/2055,Fixed Maturity
Pacific Gas and Electric Company,SPS1983758881,4004218,694308LB1,PCG-PacGas+Elec 6.0 05/01/2056 FIX USD Corporate,Yes,11/1/2055,11/1/2055,Senior Secured,Bond,5/1/2056,Fixed Maturity
Pacific Gas and Electric Company,SPS1983758907,4004218,694308LA3,PCG-PacGas+Elec 5.2 05/01/2036 FIX USD Corporate,Yes,2/1/2036,2/1/2036,Senior Secured,Bond,5/1/2036,Fixed Maturity
Pacific Gas and Electric Company,SPS672609677,4004218,694308JG3,PCG-PacGas+Elec 2.5 02/01/2031 FIX USD Corporate,Yes,"47,788.00000","47,788.00000",Senior Secured,Bond,"47,880.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS672614173,4004218,694308JF5,PCG-PacGas+Elec 2.1 08/01/2027 FIX USD Corporate,Yes,"46,539.00000","46,539.00000",Senior Secured,Bond,"46,600.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS672614174,4004218,694308JH1,PCG-PacGas+Elec 3.3 08/01/2040 FIX USD Corporate,Yes,"51,167.00000","51,167.00000",Senior Secured,Bond,"51,349.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS672614175,4004218,694308JJ7,PCG-PacGas+Elec 3.5 08/01/2050 FIX USD Corporate,Yes,"54,820.00000","54,820.00000",Senior Secured,Bond,"55,001.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS673519730,4004218,694308JK4,PCG-PacGas+Elec 3.75 07/01/2028 FIX USD Corporate,Yes,,,Senior Secured,Bond,"46,935.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS673519732,4004218,694308JM0,PCG-PacGas+Elec 4.55 07/01/2030 FIX USD Corporate,Yes,"47,484.00000","47,484.00000",Senior Secured,Bond,"47,665.00000",Fixed Maturity
Pacific Gas and Electric Company,SPS705892846,4004218,694308JT5,PCG-PacGas+Elec 3.25 06/01/2031 FIX USD Corporate,Yes,"47,908.00000","47,908.00000",Senior Secured,Bond,"48,000.00000",Fixed Maturity
PacifiCorp,SPS14165434,4001587,695114BX5,SCOTPO-Pacifico 5.9 08/15/2034 FIX USD Corporate,Yes,,,Senior Secured,Bond,"49,171.00000",Fixed Maturity
PacifiCorp,SPS1837759730,4001587,695114DA3,SCOTPO-Pacifico 5.5 05/15/2054 FIX USD Corporate,Yes,"56,203.00000","56,203.00000",Senior Secured,Bond,"56,384.00000",Fixed Maturity
PacifiCorp,SPS1982574572,4001587,695114DH8,SCOTPO-Pacifico 4.25 03/15/2029 FIX USD Corporate,Yes,2/15/2029,2/15/2029,Senior Secured,Bond,3/15/2029,Fixed Maturity
PacifiCorp,SPS28602401,4001587,695114CA4,SCOTPO-Pacifico 6.1 08/01/2036 FIX USD Corporate 144A,Yes,,,Senior Secured,Bond,"49,888.00000",Fixed Maturity
PacifiCorp,SPS33224902,4001587,695114CE6,SCOTPO-Pacifico 5.75 04/01/2037 FIX USD Corporate,Yes,,,Senior Secured,Bond,"50,131.00000",Fixed Maturity
PacifiCorp,SPS37480617,4001587,695114CG1,SCOTPO-Pacifico 6.25 10/15/2037 FIX USD Corporate,Yes,,,Senior Secured,Bond,"50,328.00000",Fixed Maturity
PacifiCorp,SPS573563734,4001587,695114CT3,SCOTPO-Pacifico 4.125 01/15/2049 FIX USD Corporate,Yes,"54,254.00000","54,254.00000",Senior Secured,Bond,"54,438.00000",Fixed Maturity
PacifiCorp,SPS604263577,4001587,695114CU0,SCOTPO-Pacifico 3.5 06/15/2029 FIX USD Corporate,Yes,"47,192.00000","47,192.00000",Senior Secured,Bond,"47,284.00000",Fixed Maturity
PacifiCorp,SPS604263578,4001587,695114CV8,SCOTPO-Pacifico 4.15 02/15/2050 FIX USD Corporate,Yes,"54,650.00000","54,650.00000",Senior Secured,Bond,"54,834.00000",Fixed Maturity
PacifiCorp,SPS64621708,4001587,U69458AA2,SCOTPO-Pacifico 6.1 08/01/2036 FIX USD Corporate RegS,Yes,,,Senior Secured,Bond,"49,888.00000",Fixed Maturity
"Pipeline Funding Company, LLC",SPS73143603,4243759,724060AA6,PIPEFUN 7.5 01/15/2030 FIX USD Corporate 144A,Yes,,,Senior Secured,Bond,"47,498.00000",Serial Maturity
"Public Service Company of North Carolina, Incorporated",SPS14038977,4057139,744516AB1,SCG-PSCN 7.45 12/15/2026 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,371.00000",Fixed Maturity
Public Service Company of Oklahoma,SPS1677250893,4057023,744533BP4,AEP-PubSvcOK 3.15 08/15/2051 FIX USD Corporate,Yes,"55,199.00000","55,199.00000",Senior Unsecured,Bond,"55,380.00000",Fixed Maturity
"Qwest Capital Funding, Inc.",SPS31497284,4136576,U74902AD6,QUS-CapFund 02/15/2031 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,2/15/2031,Fixed Maturity
Qwest Corporation,SPS14014233,4057217,624284BD6,QUS-Corp 7.375 05/01/2030 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,604.00000",Fixed Maturity
Qwest Corporation,SPS14015047,4057217,668027AT2,QUS-Corp 7.75 05/01/2030 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,604.00000",Fixed Maturity
Range Resources Corporation,SPS1764217635,4135999,75281ABL2,RRC 4.75 02/15/2030 FLT USD Corporate,Yes,6/15/2026,2/15/2025,Senior Unsecured,Bond,2/15/2030,Fixed Maturity
Raytheon Company,SPS14045686,4020418,755111AF8,RTN 7.2 08/15/2027 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,614.00000",Fixed Maturity
Raytheon Company,SPS14062322,4020418,755111AP6,RTN 7.0 11/01/2028 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"47,058.00000",Fixed Maturity
Rithm Capital Corp.,SPS1873375400,4347089,U65228AB1,RITHCAP 8.0 03/01/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/1/2029,Fixed Maturity
"Rocket Software, Inc.",SPS1964397593,4246858,77314EAD0,ROCKSOF 11/28/2028 FLT USD Corporate,No,,,Senior Secured,Bond,11/28/2028,Fixed Maturity
RTX Corporation,SPS669021932,4001600,U7532YAK0,RAYTHTE 11/15/2027 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,11/15/2027,Fixed Maturity
RTX Corporation,SPS669021933,4001600,U7532YAL8,GLBL REGS NT 36,No,,,Senior Unsecured,Note,7/1/2036,
RTX Corporation,SPS669021934,4001600,U7532YAM6,RTXCOR 7.0 04/15/2038 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,4/15/2038,Fixed Maturity
RTX Corporation,SPS669021935,4001600,U7532YAN4,GLBL REGS NT 46,No,,,Senior Unsecured,Note,12/10/2046,
"Sabine Pass Liquefaction, LLC",SPS1815101577,4368513,U77888AN2,SABIPAS 09/15/2037 FIX USD Corporate RegS,Yes,,3/15/2037,Senior Secured,Bond,9/15/2037,Serial Maturity
"Sabine Pass Liquefaction, LLC",SPS1815101683,4368513,785592AY2,SABIPAS 09/15/2037 FIX USD Corporate 144A,Yes,,3/15/2037,Senior Secured,Bond,9/15/2037,Serial Maturity
"Sabine Pass Liquefaction, LLC",SPS1849002116,4368513,785592AZ9,SABIPAS 5.9 09/15/2037 FIX USD Corporate,Yes,"50,114.00000","50,114.00000",Senior Secured,Bond,"50,298.00000",Serial Maturity
Six Flags Entertainment Corporation,SPS622854468,4121677,150190AD8,CEDAR 5.25 07/15/2029 FIX USD Corporate,Yes,"46,204.00000","45,488.00000",Senior Unsecured,Bond,"47,314.00000",Fixed Maturity
Southern California Edison Company,SPS112583104,4009083,842400FQ1,EIX-SouCalEd 4.5 09/01/2040 FIX USD Corporate,Yes,"51,196.00000","51,196.00000",Senior Secured,Bond,"51,380.00000",Fixed Maturity
Southern California Edison Company,SPS14151148,4009083,842400ES8,EIX-SouCalEd 6.0 01/15/2034 FIX USD Corporate,Yes,,,Senior Secured,Bond,"48,959.00000",Fixed Maturity
Southern California Edison Company,SPS14157728,4009083,842400EV1,EIX-SouCalEd 5.75 04/01/2035 FIX USD Corporate,Yes,,,Senior Secured,Bond,"49,400.00000",Fixed Maturity
Southern California Edison Company,SPS14172129,4009083,842400EZ2,EIX-SouCalEd 5.55 01/15/2036 FIX USD Corporate,Yes,,,Senior Secured,Bond,"49,689.00000",Fixed Maturity
Southern California Edison Company,SPS14179241,4009083,842400FA6,EIX-SouCalEd 5.35 07/15/2035 FIX USD Corporate,Yes,,,Senior Secured,Bond,"49,505.00000",Fixed Maturity
Southern California Edison Company,SPS143212055,4009083,842400FT5,EIX-SouCalEd 3.9 12/01/2041 FIX USD Corporate,Yes,"51,653.00000","51,653.00000",Senior Secured,Bond,"51,836.00000",Fixed Maturity
Southern California Edison Company,SPS1763903340,4009083,842400HM8,EIX-SouCalEd 2.75 02/01/2032 FIX USD Corporate,Yes,"48,153.00000","48,153.00000",Senior Secured,Bond,"48,245.00000",Fixed Maturity
Southern California Edison Company,SPS1763903341,4009083,842400HN6,EIX-SouCalEd 3.45 02/01/2052 FIX USD Corporate,Yes,"55,366.00000","55,366.00000",Senior Secured,Bond,"55,550.00000",Fixed Maturity
Southern California Edison Company,SPS177843184,4009083,842400FV0,EIX-SouCalEd 4.05 03/15/2042 FIX USD Corporate,Yes,"51,759.00000","51,759.00000",Senior Secured,Bond,"51,940.00000",Fixed Maturity
Southern California Edison Company,SPS1783883637,4009083,842400HQ9,EIX-SouCalEd 4.7 06/01/2027 FIX USD Corporate,Yes,"46,508.00000","46,508.00000",Senior Secured,Bond,"46,539.00000",Fixed Maturity
Southern California Edison Company,SPS1783883638,4009083,842400HR7,EIX-SouCalEd 5.45 06/01/2052 FIX USD Corporate,Yes,"55,488.00000","55,488.00000",Senior Secured,Bond,"55,671.00000",Fixed Maturity
Southern California Edison Company,SPS1814214976,4009083,842400HT3,EIX-SouCalEd 5.95 11/01/2032 FIX USD Corporate,Yes,"48,427.00000","48,427.00000",Senior Secured,Bond,"48,519.00000",Fixed Maturity
Southern California Edison Company,SPS1814214977,4009083,842400HS5,EIX-SouCalEd 5.85 11/01/2027 FIX USD Corporate,Yes,"46,661.00000","46,661.00000",Senior Secured,Bond,"46,692.00000",Fixed Maturity
Southern California Edison Company,SPS1827629925,4009083,842400HU0,EIX-SouCalEd 5.3 03/01/2028 FIX USD Corporate,Yes,"46,784.00000","46,784.00000",Senior Secured,Bond,"46,813.00000",Fixed Maturity
Southern California Edison Company,SPS1827629926,4009083,842400HV8,EIX-SouCalEd 5.7 03/01/2053 FIX USD Corporate,Yes,"55,763.00000","55,763.00000",Senior Secured,Bond,"55,944.00000",Fixed Maturity
Southern California Edison Company,SPS1838048845,4009083,842400HW6,EIX-SouCalEd 4.9 06/01/2026 FIX USD Corporate,Yes,,"46,143.00000",Senior Secured,Bond,"46,174.00000",Fixed Maturity
Southern California Edison Company,SPS1838048846,4009083,842400HX4,EIX-SouCalEd 5.875 12/01/2053 FIX USD Corporate,Yes,"56,036.00000","56,036.00000",Senior Secured,Bond,"56,219.00000",Fixed Maturity
Southern California Edison Company,SPS1867801573,4009083,842400HZ9,EIX-SouCalEd 5.2 06/01/2034 FIX USD Corporate,Yes,"49,004.00000","49,004.00000",Senior Secured,Bond,"49,096.00000",Fixed Maturity
Southern California Edison Company,SPS1867801574,4009083,842400JA2,EIX-SouCalEd 4.875 02/01/2027 FIX USD Corporate,Yes,"46,388.00000","46,388.00000",Senior Secured,Bond,"46,419.00000",Fixed Maturity
Southern California Edison Company,SPS1872828499,4009083,842400JC8,EIX-SouCalEd 5.15 06/01/2029 FIX USD Corporate,Yes,"47,239.00000","47,239.00000",Senior Secured,Bond,"47,270.00000",Fixed Maturity
Southern California Edison Company,SPS1872828501,4009083,842400JD6,EIX-SouCalEd 5.75 04/15/2054 FIX USD Corporate,Yes,"56,172.00000","56,172.00000",Senior Secured,Bond,"56,354.00000",Fixed Maturity
Southern California Edison Company,SPS1880363871,4009083,842400JE4,EIX-SouCalEd 5.45 06/01/2031 FIX USD Corporate,Yes,"47,939.00000","47,939.00000",Senior Secured,Bond,"48,000.00000",Fixed Maturity
Southern California Edison Company,SPS1893299773,4009083,842400JF1,EIX-SouCalEd 4.4 09/06/2026 FIX USD Corporate,Yes,,,Senior Secured,Bond,"46,271.00000",Fixed Maturity
Southern California Edison Company,SPS1915273746,4009083,842400JG9,EIX-SouCalEd 5.45 03/01/2035 FIX USD Corporate,Yes,"49,279.00000","49,279.00000",Senior Secured,Bond,"49,369.00000",Fixed Maturity
Southern California Edison Company,SPS1915273747,4009083,842400JH7,EIX-SouCalEd 5.9 03/01/2055 FIX USD Corporate,Yes,"56,493.00000","56,493.00000",Senior Secured,Bond,"56,674.00000",Fixed Maturity
Southern California Edison Company,SPS1934881041,4009083,842400JJ3,EIX-SouCalEd 5.25 03/15/2030 FIX USD Corporate,Yes,"47,529.00000","47,529.00000",Senior Secured,Bond,"47,557.00000",Fixed Maturity
Southern California Edison Company,SPS1934881042,4009083,842400JK0,EIX-SouCalEd 6.2 09/15/2055 FIX USD Corporate,Yes,"56,688.00000","56,688.00000",Senior Secured,Bond,"56,872.00000",Fixed Maturity
Southern California Edison Company,SPS1985742619,4009083,842400JL8,EIX-SouCalEd 4.8 03/15/2033 FIX USD Corporate,Yes,12/15/2032,12/15/2032,Senior Secured,Bond,3/15/2033,Fixed Maturity
Southern California Edison Company,SPS1998907781,4009083,842400JM6,EIX-SouCalEd 4.95 09/15/2031 FIX USD Corporate,Yes,8/15/2031,8/15/2031,Senior Secured,Bond,9/15/2031,Fixed Maturity
Southern California Edison Company,SPS231601759,4009083,842400FW8,EIX-SouCalEd 3.9 03/15/2043 FIX USD Corporate,Yes,"52,124.00000","52,124.00000",Senior Secured,Bond,"52,305.00000",Fixed Maturity
