issuer_name,cusip,instrument_id,mi_key,spread_target,spread_source,predicted_spread,cheapness_bps,sp_rating,rating_numeric,modified_duration
AEP Texas Inc.,00108WAQ3,SPS1783388206,4056935,140.95622,z_spread_bid,157.2249194834459,-16.268699483445886,BBB+,8.0,13.41435
"AEP Transmission Company, LLC",00115AAN9,SPS1675968448,4341449,109.51549,z_spread_bid,131.2783410567994,-21.762851056799406,BBB+,8.0,15.40769
Alcoa Nederland Holding B.V,013822AD3,SPS564713640,20065917,0.0,z_spread_bid,165.48340174315572,-165.48340174315572,BB+,11.0,0.0
Alltel Corporation,020039AJ2,SPS14070091,4019044,90.98841,z_spread_bid,53.51421012056753,37.47419987943247,BBB+,8.0,2.62554
Ameren Corporation,171794AF7,SPS14080441,4007308,110.76264,z_spread_bid,137.1118229217188,-26.349182921718807,BBB,9.0,2.89411
"American Homes 4 Rent, L.P.",02666TAG2,SPS1869214330,4413987,100.26974,z_spread_bid,123.03152618349418,-22.76178618349418,BBB,9.0,6.10156
Ameritech Capital Funding Corporation,030955AJ7,SPS14047511,4150236,114.35885,z_spread_bid,90.64841804504225,23.710431954957755,BBB,9.0,1.29452
Anadarko Petroleum Corporation,032511AJ6,SPS14036609,4010194,305.12025,z_spread_bid,228.53054232196075,76.58970767803925,BB+,11.0,12.99838
Anadarko Petroleum Corporation,032511AK3,SPS14037944,4010194,292.23913,z_spread_bid,210.55322121467339,81.6859087853266,BB+,11.0,13.41025
Anadarko Petroleum Corporation,032511AL1,SPS14049077,4010194,215.29022,z_spread_bid,161.0100661657407,54.280153834259295,BB+,11.0,1.36749
Anadarko Petroleum Corporation,032511AM9,SPS14050789,4010194,88.61897,z_spread_bid,278.2944859785716,-189.67551597857158,BB+,11.0,1.49687
Anadarko Petroleum Corporation,032511AN7,SPS14067687,4010194,91.39686,z_spread_bid,172.9614873103497,-81.56462731034969,BB+,11.0,2.49017
APA Corporation,U0379QAE2,SPS1912144050,4010203,91.50279,z_spread_bid,111.74911752336659,-20.24632752336659,BBB-,10.0,3.00769
Apollo Debt Solutions BDC,03770DAF0,SPS1916558713,27739734,206.28585,z_spread_bid,151.286777267872,54.99907273212801,BBB-,10.0,4.70924
Apollo Debt Solutions BDC,03770DAK9,SPS1974799806,27739734,191.25097,z_spread_bid,206.576311246058,-15.325341246058002,BBB-,10.0,3.65711
Appalachian Power Company,037735CY1,SPS660100799,4056972,133.38211,z_spread_bid,135.07831571658363,-1.69620571658362,BBB+,8.0,14.00297
"Bath & Body Works, Inc.",532716AJ6,SPS14132358,4069317,293.98588,z_spread_bid,156.817232073495,137.168647926505,BB-,13.0,5.21364
"Bath & Body Works, Inc.",532716AK3,SPS14140320,4069317,293.98588,z_spread_bid,196.45471627139608,97.53116372860393,BB-,13.0,5.21364
"Bath & Body Works, Inc.",U53313AA7,SPS64386194,4069317,293.98588,z_spread_bid,156.817232073495,137.168647926505,BB-,13.0,5.21364
"BellSouth Telecommunications, LLC",079867AP2,SPS14027259,4004438,236.03025,z_spread_bid,265.98172668136533,-29.951476681365335,BBB,9.0,14.07675
"BellSouth Telecommunications, LLC",079867AS6,SPS14027520,4004438,372.2964,z_spread_bid,247.38012923816427,124.91627076183573,BBB,9.0,11.23761
"BellSouth, LLC",079857AC2,SPS14037949,4041154,-21.96638,z_spread_bid,72.42934656281383,-94.39572656281383,BBB,9.0,0.45233
"BellSouth, LLC",079857AF5,SPS14045528,4041154,249.08903,z_spread_bid,159.48657080619472,89.60245919380529,BBB,9.0,13.93219
"BellSouth, LLC",079857AH1,SPS14081146,4041154,105.11591,z_spread_bid,115.81913667809387,-10.70322667809387,BBB,9.0,3.16146
"BellSouth, LLC",079860AD4,SPS14106681,4041154,102.68909,z_spread_bid,103.8513954214354,-1.1623054214354056,BBB,9.0,4.46831
Belo Corp.,080555AE5,SPS14043892,4121666,129.87021,z_spread_bid,138.4708416702083,-8.600631670208315,BB+,11.0,0.92593
Belo Corp.,080555AF2,SPS14046964,4121666,129.22694,z_spread_bid,126.87383796649056,2.353102033509458,BB+,11.0,1.21005
Blue Owl Credit Income Corp.,69120VBB6,SPS1879069869,25867257,179.00849,z_spread_bid,237.76165925206544,-58.75316925206545,BBB-,10.0,1.80513
Blue Owl Finance LLC,U0942JAE6,SPS1837977662,29164958,108.92218,z_spread_bid,167.63459887608187,-58.71241887608187,BBB,9.0,1.84079
Blue Owl Finance LLC,09581JAK2,SPS1837977799,29164958,108.92218,z_spread_bid,167.63459887608187,-58.71241887608187,BBB,9.0,1.84079
Blue Owl Finance LLC,09581JAJ5,SPS1837977804,29164958,108.92218,z_spread_bid,167.63459887608187,-58.71241887608187,BBB,9.0,1.84079
Boston Gas Company,100743AN3,SPS1848145517,4057111,163.5612,z_spread_bid,147.91404013786553,15.647159862134487,BBB+,8.0,12.79487
Boston Gas Company,U0568KAE6,SPS1848226543,4057111,163.5612,z_spread_bid,147.91404013786553,15.647159862134487,BBB+,8.0,12.79487
Boston Properties Limited Partnership,10112RBE3,SPS706230363,4064347,94.7415,z_spread_bid,84.30888699489762,10.432613005102382,BBB,9.0,5.26716
"Brighthouse Financial, Inc.",10922NAB9,SPS434448530,6588911,84.05408,z_spread_bid,116.1534132596625,-32.0993332596625,BBB,9.0,1.01127
"CenterPoint Energy, Inc.",15189TAX5,SPS632958506,4074390,64.00766,z_spread_bid,101.23608552542242,-37.22842552542242,BBB,9.0,3.46589
"CenterPoint Energy, Inc.",15189TAY3,SPS632958507,4074390,152.64685,z_spread_bid,195.8714185000291,-43.22456850002911,BBB,9.0,13.55677
"Charter Communications Operating, LLC",161175CJ1,SPS1774063860,4137131,153.22718,z_spread_bid,150.94560051117963,2.2815794888203698,BBB-,10.0,5.72667
"Charter Communications Operating, LLC",161175CL6,SPS1774063862,4137131,282.60067,z_spread_bid,256.3105447562319,26.290125243768102,BBB-,10.0,13.00693
Cincinnati Financial Corporation,172062AC5,SPS14056539,103262,80.49345,z_spread_bid,119.51824215120652,-39.024792151206526,BBB+,8.0,1.81973
Cincinnati Financial Corporation,172062AF8,SPS14177198,103262,28.0663,z_spread_bid,83.95887979332137,-55.892579793321374,BBB+,8.0,1.82481
Citigroup Inc.,1730T3BB8,SPS165288847,4041896,139.10847,z_spread_bid,128.19362235833944,10.914847641660572,BBB+,8.0,7.90693
Citigroup Inc.,17327CAQ6,SPS1764851411,4041896,81.08126,z_spread_bid,101.3007330664301,-20.219473066430098,BBB+,8.0,5.81472
Citigroup Inc.,172967NN7,SPS1774231253,4041896,88.10658,z_spread_bid,102.086312657481,-13.979732657481009,BBB+,8.0,5.82938
Citigroup Inc.,172967NU1,SPS1783829058,4041896,89.57052,z_spread_bid,102.80913439049489,-13.238614390494888,BBB+,8.0,5.83701
Citigroup Inc.,172967PA3,SPS1814836101,4041896,93.00828,z_spread_bid,109.18043760079159,-16.172157600791593,BBB+,8.0,5.95705
Citigroup Inc.,U17408NC2,SPS1955139175,4041896,146.00471,z_spread_bid,126.73102739665397,19.273682603346018,BBB+,8.0,7.2873
Citigroup Inc.,172967QE4,SPS1956598824,4041896,161.77527,z_spread_bid,142.07420068380026,19.70106931619975,BBB,9.0,11.06754
Citigroup Inc.,172967MP3,SPS660463768,4041896,113.23957,z_spread_bid,96.77976998460703,16.45980001539297,BBB+,8.0,4.25082
Citigroup Inc.,17290AHK9,SPS712751877,4041896,144.39003,z_spread_bid,132.64997667864083,11.74005332135917,BBB+,8.0,10.95791
"Colorado Interstate Gas Company, L.L.C.",196522AE6,SPS14044297,4057158,132.05808,z_spread_bid,143.20399889883925,-11.145918898839255,BBB+,8.0,7.63424
Connecticut Natural Gas Corporation,20765QAH8,SPS14548092,4059402,121.89866,z_spread_bid,130.53274757713382,-8.634087577133812,BBB+,8.0,7.08986
Connecticut Natural Gas Corporation,20765QAK1,SPS37846246,4059402,138.59574,z_spread_bid,127.04891261346883,11.546827386531177,BBB+,8.0,7.98583
"Continental Resources, Inc.",212015AQ4,SPS263811432,4120318,203.01302,z_spread_bid,153.65528540359495,49.357734596405066,BBB-,10.0,10.8011
"Corebridge Financial, Inc.",U20256AF7,SPS1776484759,102701,128.6425,z_spread_bid,54.9305436167809,73.7119563832191,BBB+,8.0,13.93163
"Corebridge Financial, Inc.",21871XAL3,SPS1776484760,102701,128.6425,z_spread_bid,54.9305436167809,73.7119563832191,BBB+,8.0,13.93163
"Corebridge Financial, Inc.",U20256AE0,SPS1776484761,102701,136.78346,z_spread_bid,141.41739848695954,-4.633938486959551,BBB+,8.0,10.76609
"Corebridge Financial, Inc.",21871XAJ8,SPS1776486439,102701,136.78346,z_spread_bid,141.41739848695954,-4.633938486959551,BBB+,8.0,10.76609
"Cox Communications, Inc.",872241AB0,SPS14052038,4024830,213.21872,z_spread_bid,135.90691587026794,77.31180412973205,BBB,9.0,1.53066
CSX Corporation,U12640AL9,SPS104608495,4004350,89.78405,z_spread_bid,139.7748441078369,-49.99079410783692,BBB+,8.0,9.40715
CSX Corporation,126408AU7,SPS14042856,4004350,36.32131,z_spread_bid,48.30723424016165,-11.985924240161651,BBB+,8.0,0.88348
CSX Corporation,126408BM4,SPS14050104,4004350,88.59312,z_spread_bid,72.0001493835714,16.5929706164286,BBB+,8.0,0.8811
CSX Corporation,126408HV8,SPS1792811561,4004350,108.04994,z_spread_bid,141.09051032275562,-33.04057032275561,BBB+,8.0,14.27843
CSX Corporation,126408BP7,SPS241269697,4004350,76.99607,z_spread_bid,55.05440891441919,21.94166108558081,BBB+,8.0,0.88314
CSX Corporation,126408AY9,SPS64219206,4004350,36.32131,z_spread_bid,48.86025177582074,-12.538941775820746,BBB+,8.0,0.88348
"Delhaize America, Inc.",246688AB1,SPS14096250,4054848,84.63238,z_spread_bid,124.55309538720009,-39.92071538720009,BBB+,8.0,3.98855
"Delhaize America, Inc.",246688AF2,SPS14109516,4054848,84.63238,z_spread_bid,110.66911463487473,-26.036734634874733,BBB+,8.0,3.98855
"Delhaize America, Inc.",U24627AB4,SPS64348525,4054848,84.63238,z_spread_bid,113.7353056641448,-29.102925664144806,BBB+,8.0,3.98855
Dell Inc.,247025AE9,SPS14552207,4047867,16.35726,z_spread_bid,106.77637608485959,-90.4191160848596,BBB,9.0,1.74219
Discover Financial Services,25472CBR9,SPS308170823,4096334,97.64439,z_spread_bid,152.62484421767653,-54.980454217676524,BBB,9.0,2.58174
"Discovery Communications, LLC",25470DBU2,SPS1948595357,4200085,448.01286,z_spread_bid,333.2796958468377,114.7331641531623,BB,12.0,10.55019
"Discovery Global Holdings, Inc.",55903VBW2,SPS1948595592,29181597,354.11798,z_spread_bid,272.8876856424796,81.23029435752039,BB,12.0,9.61088
"Dominion Energy, Inc.",209615BQ5,SPS14037268,4001616,56.62278,z_spread_bid,130.22134537273843,-73.59856537273842,BBB,9.0,0.36918
"Dominion Energy, Inc.",209615BS1,SPS14049850,4001616,72.89133,z_spread_bid,74.35756783480018,-1.4662378348001823,BBB,9.0,1.41504
Duke Energy Corporation,26441CCA1,SPS1854810425,4121470,141.89794,z_spread_bid,167.48755976035102,-25.589619760351013,BBB,9.0,13.15353
"Duke Energy Florida, LLC",341099BT5,SPS14171999,4056998,7.65894,z_spread_bid,38.93290518452348,-31.273965184523476,BBB+,8.0,1.54594
"Duke Energy Florida, LLC",341099BW8,SPS32210158,4056998,7.65894,z_spread_bid,40.2427068973601,-32.5837668973601,BBB+,8.0,1.54594
"Duke Energy Indiana, LLC",693627AY7,SPS14551614,4062444,91.16243,z_spread_bid,121.01925325412576,-29.856823254125757,BBB+,8.0,7.11207
"Duke Energy Kentucky, Inc.",906888AS1,SPS26281773,4057103,103.45939,z_spread_bid,112.8491311906233,-9.389741190623297,BBB+,8.0,7.26803
"Duke Energy Ohio, Inc.",172070CP7,SPS14139774,4057079,84.80149,z_spread_bid,116.45016341430252,-31.64867341430252,BBB+,8.0,5.67872
"Duke Energy Ohio, Inc.",172070CQ5,SPS14139775,4057079,95.26533,z_spread_bid,124.7914456744751,-29.526115674475093,BBB+,8.0,5.67478
El Paso LLC,U53248AP2,SPS227398570,4010586,147.56282,z_spread_bid,168.32612458179125,-20.76330458179126,BBB+,8.0,7.41046
El Paso LLC,28336LBG3,SPS28714186,4010586,147.56282,z_spread_bid,168.32612458179125,-20.76330458179126,BBB+,8.0,7.41046
El Paso LLC,28336LBB4,SPS28969902,4010586,35.3872,z_spread_bid,53.32210771388873,-17.934907713888727,BBB+,8.0,0.67976
El Paso LLC,28336LBH1,SPS28969935,4010586,147.56282,z_spread_bid,171.11065400958188,-23.54783400958189,BBB+,8.0,7.41046
"El Paso Natural Gas Company, L.L.C.",283695BE3,SPS14037911,4057159,55.1647,z_spread_bid,32.89389216949334,22.270807830506662,BBB+,8.0,0.45056
EQT Corporation,294549AE0,SPS14035183,4004341,111.05513,z_spread_bid,116.12679353318308,-5.07166353318307,BBB-,10.0,0.12451
Equifax Inc.,294429AC9,SPS14057890,4040823,70.43398,z_spread_bid,95.73789482108678,-25.303914821086778,BBB,9.0,1.88552
Exelon Corporation,30161NBU4,SPS1972368330,4057056,34.12679,z_spread_bid,80.23934925173121,-46.11255925173121,BBB+,8.0,2.61552
Expand Energy Corporation,845467AR0,SPS1675972149,4010492,116.65765,z_spread_bid,100.73478023554665,15.922869764453353,BBB-,10.0,2.4177
Extra Space Storage LP,30225VAG2,SPS1681216404,4383065,79.50421,z_spread_bid,119.1302480033438,-39.626038003343794,BBB+,8.0,5.25873
Federal Realty OP LP,313747AF4,SPS14035725,101479324,45.0535,z_spread_bid,98.02048991407716,-52.96698991407716,BBB+,8.0,0.2063
Ford Holdings LLC,345277AE7,SPS14168084,4171731,154.90822,z_spread_bid,130.8802549032227,24.027965096777308,BBB-,10.0,3.13353
Ford Motor Company,345370BH2,SPS14009291,113873,143.30575,z_spread_bid,142.6241437551721,0.6816062448278899,BBB-,10.0,4.38685
Ford Motor Company,345370BM1,SPS14009295,113873,236.27883,z_spread_bid,190.9805734741319,45.29825652586811,BBB-,10.0,9.38783
Ford Motor Company,345370BP4,SPS14035502,113873,156.80626,z_spread_bid,118.64449682901342,38.16176317098659,BBB-,10.0,0.16725
Ford Motor Company,345370BR0,SPS14037654,113873,225.02208,z_spread_bid,147.07142810108047,77.95065189891952,BBB-,10.0,10.68927
Ford Motor Company,345370BS8,SPS14043002,113873,289.44346,z_spread_bid,184.58351007401853,104.85994992598148,BBB-,10.0,13.44382
Ford Motor Company,345370BT6,SPS14052708,113873,82.88461,z_spread_bid,111.8278627947084,-28.9432527947084,BBB-,10.0,1.5788
Ford Motor Company,345370BV1,SPS14086369,113873,166.42076,z_spread_bid,170.37796938814049,-3.957209388140484,BBB-,10.0,4.3698
Ford Motor Company,345370BW9,SPS14087329,113873,263.41536,z_spread_bid,202.1691785153455,61.24618148465453,BBB-,10.0,9.8139
Freedom Mortgage Corporation,U31333AG9,SPS1848270539,4105802,260.87979,z_spread_bid,151.3382972595231,109.54149274047691,B,15.0,0.59158
GE HealthCare Technologies Inc.,36267VAL7,SPS1814830566,108009705,133.68877,z_spread_bid,168.9653814088095,-35.27661140880949,BBB,9.0,13.08948
Global Payments Inc.,37940XAH5,SPS1758571575,4090258,122.39626,z_spread_bid,117.28896668864625,5.107293311353743,BBB-,10.0,4.91963
Halliburton Company,406216AS0,SPS14176439,4010641,241.0619,z_spread_bid,160.40805440445334,80.65384559554667,BBB+,8.0,14.13637
"Hasbro, Inc.",418056AH0,SPS14058449,4095387,46.88357,z_spread_bid,101.49802234624248,-54.61445234624248,BBB,9.0,1.93195
"Healthcare Realty Holdings, L.P.",42225UAQ7,SPS1792655508,4345132,55.07721,z_spread_bid,110.36477838369544,-55.28756838369544,BBB,9.0,1.53771
"Healthcare Realty Holdings, L.P.",42225UAG9,SPS635849717,4345132,67.51938,z_spread_bid,104.19387918822326,-36.674499188223265,BBB,9.0,3.41252
Historic TW Inc.,887315AZ2,SPS14028273,4004176,230.32649,z_spread_bid,308.61601859779967,-78.28952859779966,BB,12.0,6.36148
Historic TW Inc.,887315BM0,SPS14056627,4004176,283.03638,z_spread_bid,348.75161801880125,-65.71523801880124,BB,12.0,1.47643
Historic TW Inc.,887315BN8,SPS14063043,4004176,301.25568,z_spread_bid,239.3878534435999,61.867826556400075,BB,12.0,2.63273
Howard Hughes Holdings Inc.,U44255AF1,SPS701331969,4265772,166.82481,z_spread_bid,289.3505248224077,-122.52571482240768,BB-,13.0,4.07801
HP Inc.,40434LAN5,SPS1785965139,105223,85.79589,z_spread_bid,93.31893233357631,-7.5230423335763135,BBB,9.0,5.40835
"iHeartCommunications, Inc.",U45057AP8,SPS1912350935,4095086,504.10151,z_spread_bid,277.2308422507256,226.87066774927445,CCC+,17.0,3.71535
"Indiana Bell Telephone Company, Incorporated",454614AL2,SPS32213435,4057194,66.36078,z_spread_bid,64.88593485288617,1.4748451471138395,BBB,9.0,0.20606
"Indiana Gas Company, Inc.",45475QAH6,SPS14044868,4057125,52.24167,z_spread_bid,46.72691529114911,5.514754708850887,BBB+,8.0,1.04565
"Indiana Gas Company, Inc.",45475QAR4,SPS14077444,4057125,5.32963,z_spread_bid,84.16434378401665,-78.83471378401666,BBB+,8.0,2.9545
Invitation Homes Operating Partnership LP,46188BAC6,SPS1686799318,4887375,103.57963,z_spread_bid,156.96055506493863,-53.38092506493864,BBB,9.0,6.60844
Jefferies Financial Group Inc.,472319AC6,SPS14559250,103464,152.61399,z_spread_bid,141.83221465718765,10.781775342812352,BBB,9.0,7.04253
Jefferies Financial Group Inc.,47233WHA0,SPS1893490168,103464,227.53397,z_spread_bid,148.33258022529398,79.20138977470603,BBB,9.0,7.41127
Jefferies Financial Group Inc.,47233WHJ1,SPS1903319909,103464,233.34981,z_spread_bid,160.71061949778974,72.63919050221025,BBB,9.0,8.93846
Jefferies Financial Group Inc.,47233WJK6,SPS1935137954,103464,218.87764,z_spread_bid,154.76547974414774,64.11216025585227,BBB,9.0,10.53404
Jefferies Financial Group Inc.,47233WKB4,SPS1948280473,103464,177.57236,z_spread_bid,137.305347318995,40.26701268100501,BBB,9.0,6.42409
Jefferies Financial Group Inc.,47233WKZ1,SPS1968256411,103464,132.4378,z_spread_bid,133.46590784782836,-1.0281078478283519,BBB,9.0,7.2924
Jefferies Financial Group Inc.,47233WLP2,SPS1978548739,103464,118.30582,z_spread_bid,114.34030347599487,3.9655165240051247,BBB,9.0,4.78769
Jefferies Financial Group Inc.,47233WLQ0,SPS1981558671,103464,270.90149,z_spread_bid,163.06806291145907,107.83342708854096,BBB,9.0,9.14123
Jefferies Financial Group Inc.,47233WLS6,SPS1981558673,103464,106.54846,z_spread_bid,118.57133399019312,-12.02287399019312,BBB,9.0,4.83943
Jefferies Financial Group Inc.,47233WLU1,SPS1984711343,103464,190.29631,z_spread_bid,139.7745539619534,50.52175603804662,BBB,9.0,5.53063
Jefferies Financial Group Inc.,47233WLZ0,SPS1986625840,103464,263.25665,z_spread_bid,156.3892376899404,106.86741231005959,BBB,9.0,11.923
Jefferies Financial Group Inc.,47233JCR7,SPS643085688,103464,388.21756,z_spread_bid,232.89775875396222,155.31980124603777,BBB,9.0,6.83156
Jefferies Financial Group Inc.,47233JDZ8,SPS690751551,103464,235.58001,z_spread_bid,154.44779042958712,81.13221957041287,BBB,9.0,10.02134
Jersey Central Power & Light Company,476556CV5,SPS64629873,4057004,92.63515,z_spread_bid,127.82565705991341,-35.190507059913415,BBB+,8.0,7.82741
"Kinder Morgan, Inc.",482620AS0,SPS14048016,4275772,45.25195,z_spread_bid,71.59720450473561,-26.345254504735614,BBB+,8.0,1.34392
"Kinder Morgan, Inc.",482620AW1,SPS14053446,4275772,7.55057,z_spread_bid,75.08875133498638,-67.53818133498639,BBB+,8.0,1.62175
"Kinder Morgan, Inc.",482620AX9,SPS14053447,4275772,199.16139,z_spread_bid,166.73192828229085,32.42946171770916,BBB+,8.0,15.11771
Ladder Capital Finance Holdings LLLP,505742AQ9,SPS717945595,4237798,133.12519,z_spread_bid,118.3545694618473,14.770620538152698,BB+,11.0,2.73107
"LGI Homes, Inc.",50187TAJ5,SPS1862056393,4398514,308.435,z_spread_bid,129.31552914119348,179.11947085880652,B,15.0,2.17342
"Lowe's Companies, Inc.",548661AH0,SPS14052137,4004318,10.72127,z_spread_bid,85.60172547413973,-74.88045547413972,BBB+,8.0,1.58227
"Lowe's Companies, Inc.",548661AK3,SPS14077635,4004318,31.34783,z_spread_bid,100.02771723961357,-68.67988723961356,BBB+,8.0,2.51874
"Lowe's Companies, Inc.",548661EE3,SPS1681217101,4004318,110.2887,z_spread_bid,149.71385172139324,-39.425151721393235,BBB+,8.0,11.49054
"Macy's, Inc.",577778BK8,SPS14081521,4004104,325.46967,z_spread_bid,254.47393434930254,70.99573565069747,BB+,11.0,3.14881
"MidAmerican Funding, LLC",59562HAJ7,SPS14082915,4081927,63.72345,z_spread_bid,92.88131654237229,-29.15786654237229,BBB+,8.0,2.46395
"Nationwide Financial Services, Inc.",638612AL5,SPS277592989,108270,158.82549,z_spread_bid,150.6591720769612,8.166317923038804,BBB+,8.0,11.27098
"Nationwide Financial Services, Inc.",U63752AB2,SPS277593059,108270,158.82549,z_spread_bid,150.6591720769612,8.166317923038804,BBB+,8.0,11.27098
"NextEra Energy Capital Holdings, Inc.",65339KBZ2,SPS1760991694,4065678,62.70425,z_spread_bid,87.29727850290871,-24.59302850290871,BBB+,8.0,5.08997
"NextEra Energy Capital Holdings, Inc.",65339KCA6,SPS1760991695,4065678,128.76476,z_spread_bid,179.69894625529042,-50.93418625529043,BBB+,8.0,14.97515
"NextEra Energy Capital Holdings, Inc.",65339KCL2,SPS1800633131,4065678,18.01935,z_spread_bid,45.19708203941968,-27.177732039419684,BBB+,8.0,1.19559
"NextEra Energy Capital Holdings, Inc.",65339KCM0,SPS1824929509,4065678,30.86897,z_spread_bid,52.00362475076461,-21.134654750764607,BBB+,8.0,1.64562
"NextEra Energy Capital Holdings, Inc.",65339KCQ1,SPS1824929510,4065678,136.45156,z_spread_bid,175.31658725583202,-38.86502725583202,BBB+,8.0,13.46732
"NextEra Energy Capital Holdings, Inc.",65339KCN8,SPS1824929511,4065678,44.33785,z_spread_bid,79.74853873322299,-35.41068873322298,BBB+,8.0,3.35292
"NextEra Energy Capital Holdings, Inc.",65339KCP3,SPS1824929512,4065678,67.05962,z_spread_bid,86.02686852064352,-18.967248520643523,BBB+,8.0,5.60335
"NextEra Energy Capital Holdings, Inc.",65339KDC1,SPS1885042845,4065678,23.84303,z_spread_bid,68.89665683497849,-45.05362683497849,BBB,9.0,2.69684
"NextEra Energy Capital Holdings, Inc.",65339KAT7,SPS428742841,4065678,11.36026,z_spread_bid,52.713459481404065,-41.35319948140406,BBB+,8.0,0.89444
"NextEra Energy Capital Holdings, Inc.",65339KBJ8,SPS607925173,4065678,32.20017,z_spread_bid,56.65974708012098,-24.45957708012098,BBB+,8.0,2.65106
"NextEra Energy Capital Holdings, Inc.",65339KBR0,SPS666803624,4065678,52.48176,z_spread_bid,76.86128059435475,-24.37952059435475,BBB+,8.0,3.71025
"NextEra Energy Capital Holdings, Inc.",65339KBW9,SPS717055991,4065678,25.61311,z_spread_bid,49.802499346646094,-24.189389346646095,BBB+,8.0,1.95278
"Nordstrom, Inc.",655664AH3,SPS14053808,4053619,121.09057,z_spread_bid,173.07529060945845,-51.98472060945845,BB+,11.0,1.65277
Norfolk Southern Corporation,655844CL0,SPS1677747918,4021829,111.84732,z_spread_bid,126.67974084452635,-14.832420844526354,BBB+,8.0,15.22629
Norfolk Southern Corporation,655844BW7,SPS542231141,4021829,115.23959,z_spread_bid,122.9862950077596,-7.746705007759587,BBB+,8.0,13.20766
Norfolk Southern Corporation,U65584AF8,SPS542273153,4021829,115.23959,z_spread_bid,122.9862950077596,-7.746705007759587,BBB+,8.0,13.20766
Norfolk Southern Railway Company,655855FB5,SPS14165866,4073968,140.0651,z_spread_bid,146.97388101194215,-6.908781011942153,BBB+,8.0,9.98986
Northrop Grumman Systems Corporation,872649BH0,SPS14078224,4312710,58.85792,z_spread_bid,114.59307508696514,-55.73515508696514,BBB+,8.0,2.59461
Occidental Petroleum Corporation,674599EG6,SPS1684713514,4010841,142.78059,z_spread_bid,219.20636860466644,-76.42577860466645,BB+,11.0,11.13233
Occidental Petroleum Corporation,674599DP7,SPS634205757,4010841,58.59728,z_spread_bid,296.1594668537288,-237.5621868537288,BB+,11.0,1.3789
Occidental Petroleum Corporation,674599DT9,SPS634205761,4010841,89.2456,z_spread_bid,209.88443755407286,-120.63883755407286,BB+,11.0,2.49052
"ONEOK, Inc.",682680AB9,SPS14060951,4010846,55.84375,z_spread_bid,92.01526219566406,-36.171512195664064,BBB,9.0,2.12951
"ONEOK, Inc.",682680BF9,SPS666570504,4010846,171.9786,z_spread_bid,170.41084419289885,1.5677558071011504,BBB,9.0,11.83921
